#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos
Mantenimiento del sistema integrado de biblioteca,3321,21602,21/04/2016,B28078020,"3M ESPAÑA.,S.L.","SERVICIO MANTENIMIENTO SISTEMA ANTIHURTO, APROBADA CON DECRETO 777/2016 - NUMERO DE FAC.: 4011089 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 11/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 858/2016",1129.88,0
Otras indemnizaciones de cargos electivos,912,23300,29/09/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE JULIO AL 15 DE AGOSTO - APROBADO Dº 2258/2016  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2259/2016,390,58.5
Otras indemnizaciones de cargos electivos,912,23300,20/10/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 AGOSTO AL 14 SEPTIEMBRE 2016 - APROBADO Dº 2352/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2353/2016,90,13.5
Otras indemnizaciones de cargos electivos,912,23300,08/11/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS 2016 DE 16/09/2016 A 15/10/2016. APROBADO POR DECRETO NR 2601/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2602/2016,900,135
Otras indemnizaciones de cargos electivos,912,23300,13/12/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE OCTUBRE AL 15 DE NOVIEMBRE - APROBADO Dº2898/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2899/2016,300,45
Programa de emergencia social,231,22759,01/12/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - DECRETO DE CONCESION 2644/2016 - DECRETO DE APROBACION 2844/2016,200,0
Otras indemnizaciones de cargos electivos,912,23300,05/02/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE DICIEMBRE DE 2015 AL 14 DE ENERO DE 2016 - APROBADO Dº 186/2016 Y DECRETO DE ORDENACION DEL PAGO Nº 187/2016,480,72
Otras indemnizaciones de cargos electivos,912,23300,11/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE ENERO AL 15 DE FEBRERO DE 2016 - APROBADO Dº 527/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 528/2016,870,130.5
Otras indemnizaciones de cargos electivos,912,23300,06/04/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16/02/2016 AL 15/03/2016 - APROBADO Dº 782/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 783/2016,480,72
Otras indemnizaciones de cargos electivos,912,23300,26/04/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE MARZO AL 15 DE ABRIL APROBADO Dº 1077/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1078/2016,870,130.5
Otras indemnizaciones de cargos electivos,912,23300,25/05/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE ABRIL 2016 AL 15 DE MAYO DE 2016 - SEGUN Dº 1329/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1330/2016,390,58.5
Otras indemnizaciones de cargos electivos,912,23300,30/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE MAYO AL 15 DE JUNIO - APROBADO Dº 1681/2016 Y DECRETO ORDENACION PAGO 1682/2016,390,58.5
Otras indemnizaciones de cargos electivos,912,23300,04/08/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 JUNIO AL 15 JULIO DE 2016 - APROBADO Dº 1882/2016 Y DECRETO ORDENACION PAGO 1883/2016,570,85.5
Otras indemnizaciones de cargos electivos,912,23300,29/09/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE JULIO AL 15 DE AGOSTO - APROBADO Dº 2258/2016  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2259/2016,390,58.5
Otras indemnizaciones de cargos electivos,912,23300,08/11/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS 2016 DE 16/09/2016 A 15/10/2016. APROBADO POR DECRETO NR 2601/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2602/2016,990,148.5
Otras indemnizaciones de cargos electivos,912,23300,13/12/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE OCTUBRE AL 15 NOVIEMBRE 2016 - APROABADO Dº 2898/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2899/2016,480,72
Programa de emergencia social,231,22759,06/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS SERVICIOS SOCIALES - Dº CONCESION 1166/2016 - Dº APROBACION 1440/2016 Y DECRETO PAGO 1441/2016,150,0
Programa de emergencia social,231,22759,12/08/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - DECRETO DE CONCESION 1852/2016- DECRETO DE APROBACION 1983/2016,100,0
Programa de emergencia social,231,22759,25/10/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA ECONOMICA SERVICIOS SOCIALES Dº CONCESION 2347/2016 - Dº APROBACION 2498/2016,100,0
Programa de emergencia social,231,22759,13/05/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - Dº CONCESION 997/2016 - Dº APROBACION 1210/2016,200,0
Programa de emergencia social,231,22759,20/04/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS SERVICIOS SOCIALES Dº CONCESION 766/2016 - Dº APROBACION 980/2016 Y DECRETO DE ORDENACION DEL PAGO Nº 981/2016,300,0
Programa de emergencia social,231,22759,11/11/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES DECRETO 2440/2016 SEGUN DECRETO DE APROBACION NR 2621/2016,150,0
Programa de emergencia social,231,22759,13/05/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS SERVICIOS SOCIALES - Dº CONCESION 1051/2016 - Dº APROBACION 1210/2016,300,0
Programa de emergencia social,231,22759,13/12/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES. DECRETO DE CONCESION 2777/2016. DECRETO DE APROBACION 2874/2016,150,0
Otras indemnizaciones de cargos electivos,912,23300,06/04/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16/02/2016 AL 15/03/2016 - APROBADO Dº 782/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 783/2016,300,45
Otras indemnizaciones de cargos electivos,912,23300,26/04/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE MARZO AL 15 DE ABRIL APROBADO Dº 1077/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1078/2016,870,130.5
Otras indemnizaciones de cargos electivos,912,23300,25/05/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE ABRIL 2016 AL 15 DE MAYO DE 2016 - SEGUN Dº 1329/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1330/2016,390,58.5
Otras indemnizaciones de cargos electivos,912,23300,30/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE MAYO AL 15 DE JUNIO - APROBADO Dº 1681/2016 Y DECRETO ORDENACION PAGO 1682/2016,390,58.5
Otras indemnizaciones de cargos electivos,912,23300,04/08/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 JUNIO AL 15 JULIO DE 2016 - APROBADO Dº 1882/2016 Y DECRETO ORDENACION PAGO 1883/2016,480,72
Otras indemnizaciones de cargos electivos,912,23300,29/09/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE JULIO AL 15 DE AGOSTO - APROBADO Dº 2258/2016  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2259/2016,390,58.5
Otras indemnizaciones de cargos electivos,912,23300,20/10/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 AGOSTO AL 14 SEPTIEMBRE 2016 - APROBADO Dº 2352/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2353/2016,90,13.5
Otras indemnizaciones de cargos electivos,912,23300,08/11/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS 2016 DE 16/09/2016 A 15/10/2016. APROBADO POR DECRETO NR 2601/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2602/2016,990,148.5
Otras indemnizaciones de cargos electivos,912,23300,13/12/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE OCTUBRE AL 15 NOVIEMBRE 2016 - APROABADO Dº 2898/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2899/2016,570,85.5
Programa de emergencia social,231,22759,20/04/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,CONCESION AYUDAS SERVICIOS SOCIALES Dº CONCESION 756/2016 - Dº APROBACION 980/2016 Y DECRETO DE ORDENACION DEL PAGO Nº 981/2016,300,0
Programa de emergencia social,231,22759,18/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA ECONOMICAS SERVICIOS SOCIALES Dº CONCESION 537/2016 - Dº APROBACION 642/2016,300,0
Programa de emergencia social,231,22759,20/04/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,CONCESION AYUDAS ECONOMICAS Dº CONCESION 779/2016 - Dº APROBACION 980/2016 Y DECRETO DE ORDENACION DEL PAGO Nº 981/2016,190,0
Programa de emergencia social,231,22759,25/10/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS SERVICIOS SOCIALES Dº CONCESION 2351/2016 - Dº APROBACION 2498/2016,120,0
Programa de emergencia social,231,22759,18/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA ECONOMICAS SERVICIOS SOCIALES Dº CONCESION 524/2016 - Dº APROBACION 642/2016,500,0
Programa de emergencia social,231,22759,10/10/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - DECRETO DE CONCESION 2246/2016 - DECRETO DE APROBACION 2331/2016,400,0
Programa de emergencia social,231,22759,18/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA ECONOMICAS SERVICIOS SOCIALES Dº CONCESION 533/2016 - Dº APROBACION 642/2016,250,0
Programa de emergencia social,231,22759,14/07/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES Dº CONCESION 1559/2016 - Dº APROBACION 1716/2016,250,0
Otras indemnizaciones de cargos electivos,912,23300,11/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ASISTENCIA A ORGANOS COLEGIADOS DEL 16 DE ENERO AL 15 DE FEBRERO DE 2016 - APROBADO Dº 527/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 528/2016,300,45
Programa de emergencia social,231,22759,18/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS SERVICIOS SOCIALES Dº CONCESION 355/2016 - Dº APROBACION 642/2016,90,0
Programa de emergencia social,231,22759,13/05/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA ECONOMICA SERVICIOS SOCIALES Dº CONCESION 1059/2016 - Dº APROBACIN 1210/2016,100,0
Programa de emergencia social,231,22759,01/12/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - DECRETO DE CONCESION 2639/2016 - DECRETO DE APROBACION 2844/2016,100,0
Programa de emergencia social,231,22759,13/05/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - Dº CONCESION 1014/2016 - Dª APROBACION 1210/2016,300,0
Mantenimiento de aparatos elevadores,130,21303,03/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ENERO. MANTENIMIENTO APARATOS ELEVADORES C/ALAMO, 7- APROBADA POR DECRETO 473/2016 - NUMERO DE FAC.: 2016/000001/000585 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 09/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO 474/2016",76.73,0
Mantenimiento de aparatos elevadores,130,21303,31/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - FEBRERO MANTENIMEINTO APARATOS ELEVADORES C/ ALAMO, 7  - APROBADA POR DECRETO 753/2016 - NUMERO DE FAC.: 2016/000001/000925 DE FECHA OPERACION: 22/03/2016 Y FECHA REG. INTERVENCIÓN: 08/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 754/2016",76.73,0
Mantenimiento de aparatos elevadores,130,21303,20/04/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - MES DE MARZO, MANTENIMEINTO APARATOS ELEVADORES C/ ALAMO, 7, SEGURIDAD CIUDADANA - APROBADA POR DECRETO 946/2016 - NUMERO DE FAC.: 2016/000001/001362 DE FECHA OPERACION: 11/04/2016 Y FECHA REG. INTERVENCIÓN: 05/04/2016  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 947/2016",76.73,0
Mantenimiento de aparatos elevadores,130,21303,25/05/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ABRIL - MANTENIMIENTO ELEVADORES C/ ALAMO, 7 SEGURIDAD CIUDADANA - APROBADA POR DECRETO 1301/2016 - NUMERO DE FAC.: 2016/000001/002012 DE FECHA OPERACION: 16/05/2016 Y FECHA REG. INTERVENCIÓN: 06/05/2016 Y DECRETO DE ORDENACIÓN  DEL PAGO Nº 1302/2016",76.73,0
Mantenimiento de aparatos elevadores,130,21303,30/06/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MAYO 2016 - 2ª PRORROGA - MANTENIMIENTO APARATOS ELEVADORES - C/ ALAMO - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 2016/000001/002404 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 07/06/2016 Y DECRETO ORDENACION PAGO 1632/2016,76.73,0
Mantenimiento de aparatos elevadores,130,21303,01/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - JUNIO 2016 - 2ª PRORROGA - MANTENIMIENTO APARATOS ELEVADORES - C/ ALAMO - APROBADA POR DECRETO 1849/2016 - NUMERO DE FAC.: 2016/000001/002825 DE FECHA OPERACION: 18/07/2016 Y FECHA REG. INTERVENCIÓN: 06/07/2016 Y DECRETO PAGO 1850/2016,76.73,0
Mantenimiento de aparatos elevadores,130,21303,26/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXPTE. 32/12. JULIO. MANTENIMIENTO APARATOS ELEVADORES C/ALAMO, 7 - APROBADO POR DECRETO 2090/2016 - NUMERO DE FAC.: 2016/000001/003458 DE FECHA OPERACION: 18/08/2016 Y FECHA REG. INTERVENCIÓN: 08/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2091/2016",76.73,0
Mantenimiento de aparatos elevadores,130,21303,10/10/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - AGOSTO. MANTENIMIENTO APARATOS ELEVADORES C/ALAMO, 7 - APROBADA POR DECRETO 2338/2016 - NUMERO DE FAC.: 2016/000001/003865 DE FECHA OPERACION: 27/09/2016 Y FECHA REG. INTERVENCIÓN: 09/09/2016",76.73,0
Mantenimiento de aparatos elevadores,130,21303,03/11/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MANTENIMIENTO ASECENSORES - C/ ALAMO - SEPTIEMBRE - APROBADA POR DECRETO 2561/2016 - NUMERO DE FAC.: 2016/000001/004301 DE FECHA OPERACION: 21/10/2016 Y FECHA REG. INTERVENCIÓN: 10/10/2016 Y DECRETO DE PAGO Nº 2562/2016,76.73,0
Mantenimiento de aparatos elevadores,130,21303,02/12/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - OCTUBRE. MANTENIMIENTO APARATOS ELEVADORES C/ALAMO, 7 - APROBADA POR DECRETO 2828/2016 - NUMERO DE FAC.: 2016/000001/004981 DE FECHA OPERACION: 22/11/2016 Y FECHA REG. INTERVENCIÓN: 09/11/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2829/2016",76.73,0
Mantenimiento de aparatos elevadores,130,21303,29/12/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXPE 32/12 MANTENIMIENTO ELEVADORES CALLE ALAMO NOVIEMBRE 2016 - APROBADA POR DECRETO 3126/2016 - NUMERO DE FAC.: 2016/000001/005423 DE FECHA OPERACION: 22/12/2016 Y FECHA REG. INTERVENCIÓN: 05/12/2016,76.73,0
Mantenimiento de aparatos elevadores,151,21303,03/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ENERO. MANTENIIENTO APARATOS ELEVADORES C/EL POTRO, 21- APROBADA POR DECRETO 473/2016 - NUMERO DE FAC.: 2016/000001/000591 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 09/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO 474/2016",66.11,0
Mantenimiento de aparatos elevadores,151,21303,31/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - FEBREROI MANTENIMIENTO APARATOS ELEVADORES C/ DEL POTRO, 21 - URBANISMO  - APROBADA POR DECRETO 753/2016 - NUMERO DE FAC.: 2016/000001/000931 DE FECHA OPERACION: 22/03/2016 Y FECHA REG. INTERVENCIÓN: 07/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 754/2016",66.11,0
Mantenimiento de aparatos elevadores,151,21303,20/04/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - MES DE MARZO MANTENIMEINTO APARATOS ELEVADORES C/ DEL POTRO, 21 - URBANISMO  - APROBADA POR DECRETO 946/2016 - NUMERO DE FAC.: 2016/000001/001368 DE FECHA OPERACION: 11/04/2016 Y FECHA REG. INTERVENCIÓN: 05/04/2016  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 947/2016",66.11,0
Mantenimiento de aparatos elevadores,151,21303,25/05/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ABRIL - MANTENIMEINTO DE APRATOS ELEVADORES C/ DEL POTRO, 21 - URBANISMO - APROBADA POR DECRETO 1301/2016 - NUMERO DE FAC.: 2016/000001/002018 DE FECHA OPERACION: 16/05/2016 Y FECHA REG. INTERVENCIÓN: 06/05/2016 Y DECRETO DE ORDENACIÓN  DEL PAGO Nº 1302/2016",66.11,0
Mantenimiento de aparatos elevadores,151,21303,30/06/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MAYO 2016 - 2ª PRORROGA - MANTENIMIENTO APARATOS ELEVADORES C/ EL POTRO - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 2016/000001/002410 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 07/06/2016 Y DECRETO ORDENACION PAGO 1632/2016,66.11,0
Mantenimiento de aparatos elevadores,151,21303,01/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - JUNIO 2016 - 2ª PRORROGA - MANTENIMIENTOS APARATOS ELEVADORES - C/ POTRO - APROBADA POR DECRETO 1849/2016 - NUMERO DE FAC.: 2016/000001/002831 DE FECHA OPERACION: 18/07/2016 Y FECHA REG. INTERVENCIÓN: 06/07/2016 Y DECRETO PAGO 1850/2016,66.11,0
Mantenimiento de aparatos elevadores,151,21303,26/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXPTE. 32/12. JULIO. MANTENIMIENTO APARATOS ELEVADORES C/EL POTRO, 21 - APROBADO POR DECRETO 2090/2016 - NUMERO DE FAC.: 2016/000001/003464 DE FECHA OPERACION: 18/08/2016 Y FECHA REG. INTERVENCIÓN: 08/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2091/2016",66.11,0
